profit_06Y,code,profit_14Y,profit_12Y,profit_10Y,asset_13Y,asset_08Y,profit_09Y,asset_07Y,asset_15Y,asset_11Y,profit_11Y,profit_15Y,profit_13Y,asset_09Y,profit_07Y,asset_12Y,profit_08Y,asset_14Y,asset_06Y,Year_Month,asset_10Y
172,007690,209,264,271,"5,904","3,734",228,"3,069","6,813","4,670",219,563,314,"3,793",135,"4,644",294,"6,374","2,635",2006.12,"5,100"
157,007700,140,81,275,"2,778","1,754",157,"1,736","3,334","1,997",197,124,84,"1,834",130,"2,123",82,"3,227","1,523",2006.12,"1,969"
16,007820,64,56,48,770,270,26,187,857,684,62,30,50,277,28,685,23,791,189,2006.12,424
149,007860,"2,563",542,778,"19,096","5,315",596,"4,745","25,955","12,181",658,942,"1,003","6,531",129,"13,782",427,"22,666","3,994",2006.12,"7,332"
108,008020,232,242,162,"6,144","2,780",132,"2,388","5,886","5,186",260,225,173,"3,103",116,"5,885",127,"6,594","2,109",2006.12,"3,171"
28,008260,53,71,80,"1,540","1,151",11,815,"1,766","1,436",64,71,74,"1,108",36,"1,422",11,"1,692",570,2006.12,"1,189"
36,008370,39,43,48,796,445,69,431,838,771,51,59,45,663,19,795,29,807,420,2006.12,687
21,008470,38,36,32,649,391,42,369,758,583,31,50,42,409,4,615,20,699,405,2006.12,451
141,008730,91,226,201,"5,229","2,864",179,"2,952","5,152","3,890",220,140,275,"3,021",148,"4,446",126,"5,662","3,199",2006.12,"3,399"
178,008770,735,"1,014",497,"17,121","11,326",315,"7,208","21,767","13,756",560,185,108,"10,730",171,"15,422",249,"19,075","7,113",2006.12,"11,771"
60,008870,31,23,13,"2,098",933,24,951,"2,318","2,078",74,77,19,947,58,"2,155",8,"2,209",917,2006.09,945
14,009070,171,1,20,"3,041","1,874",32,"1,871","3,636","2,726",34,91,41,"1,974",146,"2,956",50,"3,336","1,796",2006.12,"2,230"
"1,056",009150,"5,089","4,520","6,667","71,853","38,374","3,186","36,550","72,695","73,289","3,924",206,"3,457","55,629","1,235","68,915",541,"77,186","33,686",2006.12,"68,360"
87,009160,143,193,201,"3,620","1,655",137,"1,259","4,228","3,109",250,164,200,"1,770",123,"3,187",255,"3,819","1,035",2006.12,"2,463"
91,009240,867,395,290,"5,062","2,865",218,"2,831","7,688","3,947",393,"1,147",614,"3,502",147,"3,768",173,"5,440","2,448",2006.12,"3,072"
177,009290,351,278,252,"4,257","2,468",232,"2,378","6,638","3,217",299,361,220,"2,639",242,"3,894",214,"4,425","2,158",2006.12,"2,917"
47,009300,81,120,218,"1,470",963,35,850,"1,529","1,379",98,72,72,"1,111",38,"1,448",42,"1,459",822,2006.12,"1,272"
110,009440,0,383,116,"4,299","2,496",153,"1,701","4,503","4,168",193,134,145,"2,766",133,"4,853",65,"4,375","1,341",2006.12,"3,487"
60,009450,94,92,77,"3,548","1,974",37,"1,800","4,021","2,244",94,168,111,"2,041",77,"2,546",77,"4,017","1,742",2006.12,"2,339"
358,009680,175,279,428,"4,561","3,156",447,"2,836","4,293","4,232",270,92,202,"3,530",255,"4,506",257,"4,294","2,487",2006.12,"3,912"
70,009770,66,169,115,"1,813","1,059",116,"1,036","1,904","1,613",169,79,132,"1,207",58,"1,677",21,"1,807",982,2006.12,"1,393"
26,009780,47,29,22,"1,139","1,055",15,"1,025","1,291","1,184",26,52,33,946,13,"1,124",11,"1,255","1,049",2006.12,"1,153"
502,009970,"1,817","1,689","1,541","16,166","8,321","1,061","6,269","26,482","12,686","2,109","1,726","1,614","8,894",692,"13,962","1,205","17,748","4,784",2006.12,"10,067"
63,010100,24,129,249,"6,118","4,858",3,"4,513","7,171","6,012",87,143,95,"7,343",73,"6,145",25,"6,567","4,066",2006.12,"5,495"
993,010120,"1,051",973,"1,132","21,013","11,855","1,687","9,719","22,517","17,694",697,706,"1,140","13,585","1,107","20,203",948,"22,944","9,597",2006.12,"16,778"
"4,284",010130,"5,049","5,680","4,867","51,210","26,797","4,184","28,822","59,079","46,062","7,137","5,140","4,528","32,160","4,295","49,405","2,897","56,424","23,262",2006.12,"38,552"
5,010470,25,48,43,"1,149",925,23,937,"1,939",988,65,28,30,993,34,"1,238",24,"1,314",953,2006.12,999
36,010660,69,121,100,"1,738","1,231",50,"1,069","1,598","1,944",157,23,87,"1,320",46,"1,753",63,"1,829","1,023",2006.12,"1,499"
75,010820,16,26,77,"1,476","1,189",11,955,"2,036","1,164",27,25,24,"1,358",9,"1,321",22,"2,000",921,2006.12,"1,386"
75,010960,36,84,128,"2,030","1,131",130,863,"2,347","1,978",58,82,52,"1,259",84,"2,073",58,"1,984",733,2006.12,"1,537"
183,011040,243,81,200,"2,004","1,229",135,"1,306","2,334","1,857",203,133,185,"1,600",163,"1,892",114,"2,277","1,232",2006.12,"1,685"
615,011210,"4,392","4,246","1,367","48,605","23,308",772,"19,026","66,831","42,528","2,409","3,269","4,250","23,438",433,"45,735",464,"59,373","18,194",2006.12,"28,118"
29,011500,78,87,122,"1,309",718,117,745,"1,405","1,201",90,85,78,938,49,"1,289",53,"1,490",655,2006.12,"1,079"
136,011560,80,71,58,"1,300",792,45,783,"1,615","1,303",80,137,56,845,96,"1,175",73,"1,697",690,2006.12,"1,197"
"1,026",011790,433,318,"1,308","35,858","26,965",94,"18,868","36,882","31,796",780,"2,456",257,"24,291",794,"34,913",106,"36,868","17,981",2006.12,"27,551"
43,012160,25,48,62,"3,100",935,61,733,"3,028","2,608",124,42,75,913,75,"2,705",128,"3,425",658,2006.12,"1,127"
53,012200,65,50,55,"1,808","1,434",47,"1,398","2,116","1,706",66,96,59,"1,478",90,"1,746",47,"2,042","1,291",2006.12,"1,553"
"6,942",012330,"33,925","35,420","25,059","344,303","104,506","15,712","84,509","377,748","225,756","30,268","30,400","33,964","142,013","7,614","300,470","10,391","391,119","78,134",2006.12,"172,509"
10,012610,101,21,98,"3,169","2,051",146,"1,457","3,267","3,196",29,37,102,"2,779",44,"2,875",172,"3,130","1,218",2006.12,"3,024"
22,012620,78,64,68,"1,589",954,27,836,"1,643","1,563",76,46,59,"1,081",56,"1,549",72,"1,672",693,2006.12,"1,293"
65,012700,390,261,187,"5,112","1,522",140,"1,401","7,794","3,598",237,408,349,"1,785",71,"4,660",72,"6,397",911,2006.12,"2,571"
833,012750,"1,186","1,092","1,148","11,508","7,816",981,"6,961","13,902","10,577","1,349","1,560",860,"8,338","1,062","10,809","1,174","14,561","6,078",2006.12,"8,725"
27,012790,102,44,39,706,550,38,486,873,607,31,88,73,582,33,626,34,799,453,2006.12,584
31,012860,325,41,37,"4,510","2,394",44,"2,120","5,831","3,801",130,213,213,"3,001",58,"4,222",27,"4,961","2,108",2006.12,"3,331"
60,013030,382,295,197,"2,758","1,293",192,"1,022","3,352","2,241",247,432,334,"1,624",143,"2,484",218,"3,055",854,2006.12,"1,797"
369,013120,590,345,47,"3,871","2,253",6,"2,254","5,460","3,257",178,902,328,"3,058",106,"4,198",39,"4,335","2,334",2006.12,"2,931"
114,013870,175,141,201,"3,780","1,686",57,"1,620","4,594","3,312",258,120,199,"2,122",125,"3,541",55,"4,308","1,542",2006.12,"2,428"
65,014280,231,107,80,"6,755","4,317",116,"3,874","6,783","4,312",2,76,185,"4,200",25,"4,991",17,"7,231","3,326",2006.12,"5,106"
97,014530,93,119,90,"1,956","1,286",95,974,"1,875","1,959",92,145,129,"1,548",32,"1,979",101,"1,886",937,2006.12,"1,617"
30,014570,22,15,33,635,514,28,490,592,667,38,18,7,560,40,659,32,622,450,2006.12,624
52,014580,46,87,139,"1,790","1,579",151,"1,503","1,825","1,651",110,28,64,"1,808",37,"1,698",76,"1,785","1,416",2006.12,"2,045"
208,014620,441,555,174,"5,329","3,088",461,"2,564","5,458","4,486",246,195,687,"3,620",519,"5,107",666,"5,534","2,083",2006.12,"3,897"
113,014680,214,361,154,"4,280","1,876",170,"1,990","5,210","3,218",187,343,203,"2,067",53,"3,587",31,"4,744","1,879",2006.12,"2,591"
235,014830,457,45,714,"8,809","6,154",352,"3,124","10,368","9,628",663,709,359,"4,852",271,"8,431",634,"8,315","2,811",2006.12,"6,226"
38,015230,181,234,134,"1,551","1,389",29,"1,091","1,953","1,488",227,158,181,"1,032",40,"1,440",44,"1,840","1,168",2006.12,"1,339"
264,015350,351,373,280,"7,926","5,029",186,"4,526","8,042","6,870",332,416,368,"5,490",254,"7,648",246,"7,527","4,111",2006.12,"5,834"
182,015360,133,304,357,"13,490","5,884",152,"5,758","12,646","12,982",220,194,140,"14,158",276,"13,766",254,"13,466","5,231",2006.12,"13,176"
3,015710,58,34,14,"1,115",835,15,521,"1,101",906,33,72,30,878,23,"1,019",7,"1,059",531,2006.12,910
269,015750,"1,305","1,609","1,512","22,634","12,438","1,189","8,816","32,291","22,386",755,309,"1,534","14,578",367,"22,596",445,"26,121","8,624",2006.12,"18,979"
88,016580,188,158,172,"1,931","1,076",144,"1,062","2,351","1,661",146,205,146,"1,189",113,"1,814",112,"2,178",985,2006.12,"1,370"
93,016710,270,330,196,"11,392","5,959",410,"5,683","11,394","9,416",391,277,283,"6,858",115,"10,578",160,"11,902","5,175",2006.12,"7,875"
294,016800,248,294,325,"3,487","3,159",320,"2,963","4,015","3,480",341,300,207,"3,394",328,"3,423",359,"3,747","2,640",2006.12,"3,275"
47,017250,33,11,13,"1,211",960,18,910,"1,219",936,14,26,12,963,24,"1,122",25,"1,222",909,2006.09,925
24,017370,121,57,54,"2,061","1,037",41,711,"2,570","1,540",81,152,37,"1,062",14,"1,547",17,"2,060",553,2006.12,"1,212"
443,017390,622,648,473,"15,329","7,454",242,"7,800","14,366","13,182",554,448,693,"8,363",398,"15,195",416,"16,267","6,906",2006.12,"8,730"
4,017510,32,39,19,675,285,21,299,714,616,23,40,51,560,19,652,17,673,283,2006.12,588
"14,496",017670,"17,993","11,157","12,972","265,765","224,737","10,556","190,489","285,814","243,660","15,821","15,159","16,095","232,063","15,623","255,956","9,723","279,412","162,400",2006.12,"226,517"
62,017890,116,75,124,"2,439","1,897",139,"1,628","2,651","2,558",99,182,55,"2,108",99,"2,409",202,"2,579","1,660",2006.12,"2,315"
144,017960,197,57,79,"2,969","1,882",232,"1,681","3,474","2,765",60,227,148,"2,020",219,"2,905",369,"3,433","1,545",2006.12,"1,935"
170,018120,163,155,137,659,969,165,984,919,"1,179",101,176,141,"1,024",194,625,175,781,831,2006.12,"1,053"
"2,209",018260,"4,343","4,072","3,276","53,001","19,603","2,758","17,210","63,317","40,639","3,329","4,698","3,260","21,074","2,358","44,654","2,361","55,460","12,729",2006.12,"36,535"
46,018310,403,50,48,"1,919","1,085",47,700,"2,426","1,265",30,333,212,"1,153",40,"1,511",10,"2,122",557,2006.12,"1,050"
11,018620,8,13,8,274,189,8,155,422,258,7,4,6,228,11,262,5,291,131,2006.12,229
901,018880,"2,904","2,451","2,192","29,539","15,580","1,661","13,405","34,594","20,477","2,336","2,434","3,121","17,026","1,084","22,362","1,037","32,400","10,973",2006.12,"18,621"
220,019170,34,143,218,"3,984","2,686",211,"2,172","4,107","3,785",249,15,55,"3,102",88,"3,797",121,"4,093","2,011",2006.12,"3,209"
98,019440,322,214,309,"4,862","2,524",36,"1,948","5,003","4,746",292,192,330,"2,427",149,"4,850",150,"5,301","1,915",2006.12,"3,171"
14,019540,279,77,67,"2,274",458,44,473,"4,161","1,421",46,86,114,572,24,"2,216",-0,"3,161",460,2006.12,834
506,019680,382,208,475,"8,423","7,572",562,"9,176","8,206","8,585",504,461,322,"8,222",463,"8,141",147,"8,422","8,495",2006.12,"8,922"
41,019770,104,82,82,"1,127",389,47,347,"1,784",814,99,2,76,429,49,952,39,"1,311",258,2006.12,534
7,019990,28,39,44,334,182,38,161,377,286,35,20,27,219,16,316,20,368,141,2006.12,245
510,020000,364,641,747,"10,024","5,581",539,"5,334","9,575","7,943",874,729,408,"6,155",466,"8,738",525,"10,482","5,067",2006.12,"6,959"
749,021240,"2,497",940,"2,109","16,679","15,676","1,587","9,393","17,754","16,247","1,671","3,431","2,451","18,038","1,161","17,551","1,260","16,216","8,851",2006.12,"20,233"
142,021820,680,707,574,"4,949","2,682",157,"1,875","6,040","3,204",421,641,799,"4,589",152,"4,294",216,"5,407","1,838",2006.06,"5,586"
38,023000,145,186,159,"2,039","1,117",99,919,"2,235","2,178",205,158,150,"1,269",54,"2,058",125,"2,112",828,2006.12,"1,494"
191,023160,88,332,15,"4,686","3,396",444,"2,287","4,798","4,225",276,159,285,"3,428",449,"4,494",831,"4,666","1,800",2006.12,"3,301"
71,023350,29,13,119,"2,078",955,96,850,"2,256","1,860",83,12,54,"1,420",79,"1,856",88,"2,256",729,2006.12,"1,392"
22,023450,23,38,28,566,408,39,384,683,623,18,35,20,470,17,547,20,676,349,2006.12,495
475,023590,849,959,"1,312","48,495","16,877",828,"16,277","68,347","42,351","1,213","2,026",541,"26,601",817,"48,485","1,062","53,385","11,555",2006.12,"33,477"
33,023810,143,92,135,"1,588",807,71,580,"1,894","1,336",113,106,173,946,40,"1,463",40,"1,640",452,2006.12,"1,099"
